date_str,max_temp,rainfall,date,month,month_name,year,week,danger_cat,danger_order,month_label,month_order
2019-09-01,18.8,0.0,2019-09-01,9,Sep,2019,35,Moderate,2,Sep 2019,9
2019-09-02,17.5,3.2,2019-09-02,9,Sep,2019,36,Low,1,Sep 2019,9
2019-09-03,21.6,1.2,2019-09-03,9,Sep,2019,36,Moderate,2,Sep 2019,9
2019-09-04,19.6,0.0,2019-09-04,9,Sep,2019,36,Moderate,2,Sep 2019,9
2019-09-05,19.4,0.2,2019-09-05,9,Sep,2019,36,Moderate,2,Sep 2019,9
2019-09-06,15.6,1.6,2019-09-06,9,Sep,2019,36,Low,1,Sep 2019,9
2019-09-07,13.1,1.8,2019-09-07,9,Sep,2019,36,Low,1,Sep 2019,9
2019-09-08,15.4,0.8,2019-09-08,9,Sep,2019,36,Low,1,Sep 2019,9
2019-09-09,12.7,9.6,2019-09-09,9,Sep,2019,37,Low,1,Sep 2019,9
2019-09-10,14.5,0.4,2019-09-10,9,Sep,2019,37,Low,1,Sep 2019,9
2019-09-11,20.2,0.0,2019-09-11,9,Sep,2019,37,Moderate,2,Sep 2019,9
2019-09-12,20.0,0.0,2019-09-12,9,Sep,2019,37,Moderate,2,Sep 2019,9
2019-09-13,17.6,0.0,2019-09-13,9,Sep,2019,37,Low,1,Sep 2019,9
2019-09-14,19.9,0.0,2019-09-14,9,Sep,2019,37,Moderate,2,Sep 2019,9
2019-09-15,19.5,1.0,2019-09-15,9,Sep,2019,37,Moderate,2,Sep 2019,9
2019-09-16,12.4,11.8,2019-09-16,9,Sep,2019,38,Low,1,Sep 2019,9
2019-09-17,13.2,0.0,2019-09-17,9,Sep,2019,38,Low,1,Sep 2019,9
2019-09-18,19.4,0.0,2019-09-18,9,Sep,2019,38,Moderate,2,Sep 2019,9
2019-09-19,23.0,0.0,2019-09-19,9,Sep,2019,38,Moderate,2,Sep 2019,9
2019-09-20,24.7,0.0,2019-09-20,9,Sep,2019,38,Moderate,2,Sep 2019,9
2019-09-21,18.9,0.0,2019-09-21,9,Sep,2019,38,Moderate,2,Sep 2019,9
2019-09-22,15.4,3.0,2019-09-22,9,Sep,2019,38,Low,1,Sep 2019,9
2019-09-23,15.9,1.0,2019-09-23,9,Sep,2019,39,Low,1,Sep 2019,9
2019-09-24,14.9,2.4,2019-09-24,9,Sep,2019,39,Low,1,Sep 2019,9
2019-09-25,16.5,0.0,2019-09-25,9,Sep,2019,39,Low,1,Sep 2019,9
2019-09-26,20.5,0.0,2019-09-26,9,Sep,2019,39,Moderate,2,Sep 2019,9
2019-09-27,19.4,0.0,2019-09-27,9,Sep,2019,39,Moderate,2,Sep 2019,9
2019-09-28,14.6,0.4,2019-09-28,9,Sep,2019,39,Low,1,Sep 2019,9
2019-09-29,15.3,0.0,2019-09-29,9,Sep,2019,39,Low,1,Sep 2019,9
2019-09-30,14.7,0.0,2019-09-30,9,Sep,2019,40,Low,1,Sep 2019,9
2019-10-01,22.6,0.0,2019-10-01,10,Oct,2019,40,Moderate,2,Oct 2019,10
2019-10-02,26.4,0.0,2019-10-02,10,Oct,2019,40,High,3,Oct 2019,10
2019-10-03,28.9,0.0,2019-10-03,10,Oct,2019,40,High,3,Oct 2019,10
2019-10-04,15.7,0.0,2019-10-04,10,Oct,2019,40,Low,1,Oct 2019,10
2019-10-05,23.3,2.6,2019-10-05,10,Oct,2019,40,Moderate,2,Oct 2019,10
2019-10-06,24.4,0.0,2019-10-06,10,Oct,2019,40,Moderate,2,Oct 2019,10
2019-10-07,16.8,0.0,2019-10-07,10,Oct,2019,41,Low,1,Oct 2019,10
2019-10-08,13.3,1.4,2019-10-08,10,Oct,2019,41,Low,1,Oct 2019,10
2019-10-09,15.1,4.4,2019-10-09,10,Oct,2019,41,Low,1,Oct 2019,10
2019-10-10,14.6,1.8,2019-10-10,10,Oct,2019,41,Low,1,Oct 2019,10
2019-10-11,19.3,0.4,2019-10-11,10,Oct,2019,41,Moderate,2,Oct 2019,10
2019-10-12,19.6,9.4,2019-10-12,10,Oct,2019,41,Moderate,2,Oct 2019,10
2019-10-13,22.3,0.0,2019-10-13,10,Oct,2019,41,Moderate,2,Oct 2019,10
2019-10-14,25.6,0.6,2019-10-14,10,Oct,2019,42,High,3,Oct 2019,10
2019-10-15,18.4,0.2,2019-10-15,10,Oct,2019,42,Moderate,2,Oct 2019,10
2019-10-16,19.8,0.0,2019-10-16,10,Oct,2019,42,Moderate,2,Oct 2019,10
2019-10-17,15.0,8.0,2019-10-17,10,Oct,2019,42,Low,1,Oct 2019,10
2019-10-18,21.3,0.2,2019-10-18,10,Oct,2019,42,Moderate,2,Oct 2019,10
2019-10-19,15.7,0.2,2019-10-19,10,Oct,2019,42,Low,1,Oct 2019,10
2019-10-20,16.7,0.6,2019-10-20,10,Oct,2019,42,Low,1,Oct 2019,10
